student_token,major,course,course_order,resource_type,resource_id,resource_title,resource_url,recommendation_score,student_rank,confidence,match_score,quality_score,popularity_score,model_explanation,availability_checked_at,delivery_type,availability_status,simulated_opac_code,simulated_shelf_location,primary_action,digital_access_right,priority_badge,distribution_channels
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,Quy hoạch đô thị,2,ueh_repository,UEH/61148,Thực trạng thực thi pháp luật về quy hoạch đô thị trên địa bàn tỉnh Cà Mau,https://digital.lib.ueh.edu.vn/handle/UEH/61148,95.5,1,high,100.0,80.0,50.0,UEH Repository: content match + confidence + publication year + views,2026-06-01 09:10:43.814573+07,digital_repository,digital_access_granted,,,open_repository_link,student_access_allowed,high_priority,mobile_app; web_portal; email_digest; opac_terminal_widget
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,Quản lý dự án xây dựng,6,tiki_book,277392524,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156,84.22,2,high,98.26,50.0,50.0,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,2026-06-01 09:10:43.814573+07,print_collection_or_marketplace,available_via_tiki_link,OPAC-SIM-277392524,UEH Library - Suggested Shelf - Floor 1,place_hold_or_open_tiki_link,,high_priority,mobile_app; web_portal; email_digest; opac_terminal_widget
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,Quản lý dự án xây dựng,6,ueh_repository,UEH/62960,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),https://digital.lib.ueh.edu.vn/handle/UEH/62960,48.62,3,medium,38.54,80.0,50.0,UEH Repository: content match + confidence + publication year + views,2026-06-01 09:10:43.814573+07,digital_repository,digital_access_granted,,,open_repository_link,student_access_allowed,optional,mobile_app; web_portal; email_digest; opac_terminal_widget
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,Công nghệ BIM,5,tiki_book,53259393,- Mẹ Bỉm Sữa Kinh Doanh Online DL,https://tiki.vn/sach-me-bim-sua-kinh-doanh-online-dl-p53259393.html?spid=53259395,48.56,4,medium,42.57,74.57,18.15,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,2026-06-01 09:10:43.814573+07,print_collection_or_marketplace,available_via_tiki_link,OPAC-SIM-53259393,UEH Library - Suggested Shelf - Floor 4,place_hold_or_open_tiki_link,,optional,mobile_app; web_portal; email_digest; opac_terminal_widget
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,Thiết kế đô thị thông minh,1,tiki_book,274890405,"- Nhận Diện Nghệ Thuật Đồ Họa - Để nghiên cứu , sáng tác và giảng dạy Thiết Kế Đồ Họa ( Tặng kèm sổ tay xương rồng )",https://tiki.vn/sach-nhan-dien-nghe-thuat-do-hoa-de-nghien-cuu-sang-tac-va-giang-day-thiet-ke-do-hoa-tang-kem-so-tay-xuong-rong-p274890405.html?spid=274890406,34.0,5,low,28.1,50.0,29.01,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,2026-06-01 09:10:43.814573+07,print_collection_or_marketplace,available_via_tiki_link,OPAC-SIM-274890405,UEH Library - Suggested Shelf - Floor 1,place_hold_or_open_tiki_link,,optional,mobile_app; web_portal; email_digest; opac_terminal_widget
stu_0228ea389f375d71,Khoa học máy tính,Cấu trúc dữ liệu và giải thuật,1,tiki_book,269955449,- Giáo trình cấu trúc dữ liệu và giải thuật,https://tiki.vn/sach-giao-trinh-cau-truc-du-lieu-va-giai-thuat-p269955449.html?spid=269955450,85.18,1,high,95.15,80.62,35.12,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,2026-06-01 09:10:43.814573+07,print_collection_or_marketplace,available_via_tiki_link,OPAC-SIM-269955449,UEH Library - Suggested Shelf - Floor 3,place_hold_or_open_tiki_link,,high_priority,mobile_app; web_portal; email_digest; opac_terminal_widget
stu_0228ea389f375d71,Khoa học máy tính,Trình biên dịch,5,tiki_book,182480871,The Experience Economy: Nền Kinh Tế Trải Nghiệm - Biến Dịch Vụ Của Bạn Thành Trải Nghiệm Khách Hàng,https://tiki.vn/the-experience-economy-nen-kinh-te-trai-nghiem-bien-dich-vu-cua-ban-thanh-trai-nghiem-khach-hang-p182480871.html?spid=258929164,44.76,2,medium,31.68,50.0,50.0,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,2026-06-01 09:10:43.814573+07,print_collection_or_marketplace,available_via_tiki_link,OPAC-SIM-182480871,UEH Library - Suggested Shelf - Floor 4,place_hold_or_open_tiki_link,,optional,mobile_app; web_portal; email_digest; opac_terminal_widget
stu_0228ea389f375d71,Khoa học máy tính,Hệ điều hành,4,ueh_repository,UEH/63620,"Đặc điểm quá tự tin, thù lao giám đốc điều hành và hiệu quả hoạt động của các doanh nghiệp niêm yết trên thị trường chứng khoán Việt Nam",https://digital.lib.ueh.edu.vn/handle/UEH/63620,42.49,3,medium,28.32,80.0,50.0,UEH Repository: content match + confidence + publication year + views,2026-06-01 09:10:43.814573+07,digital_repository,digital_access_granted,,,open_repository_link,student_access_allowed,optional,mobile_app; web_portal; email_digest; opac_terminal_widget
stu_0228ea389f375d71,Khoa học máy tính,Kiến trúc máy tính,3,tiki_book,115126767,"Everything You Need To Ace Computer Science And Coding Big Fat Notebooks - Sổ Tay Khoa Học Máy Tính Và Mã Hóa ( Tiếng Anh, Lớp 8 - Lớp 12 ) - - Nâng Cao Kiến Thức Khoa Học Máy Tính Và Lập Trình - Á Châu Books, Bìa Cứng, In Màu",https://tiki.vn/sach-everything-you-need-to-ace-computer-science-and-coding-big-fat-notebooks-so-tay-may-tinh-tieng-anh-lop-8-lop-12-p115126767.html?spid=115126768,42.16,4,low,28.12,82.84,43.89,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,2026-06-01 09:10:43.814573+07,print_collection_or_marketplace,available_via_tiki_link,OPAC-SIM-115126767,UEH Library - Suggested Shelf - Floor 2,place_hold_or_open_tiki_link,,optional,mobile_app; web_portal; email_digest; opac_terminal_widget
stu_0228ea389f375d71,Khoa học máy tính,Lập trình hàm,6,tiki_book,112442080,Tớ Đến Với Khoa Học Máy Tính: Thuật Toán Và Lập Trình (Tái Bản),https://tiki.vn/sach-to-den-voi-khoa-hoc-may-tinh-thuat-toan-va-lap-trinh-tai-ban-p112442080.html?spid=112442081,37.7,5,low,26.23,74.57,28.06,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,2026-06-01 09:10:43.814573+07,print_collection_or_marketplace,available_via_tiki_link,OPAC-SIM-112442080,UEH Library - Suggested Shelf - Floor 1,place_hold_or_open_tiki_link,,optional,mobile_app; web_portal; email_digest; opac_terminal_widget
