student_token,major,rank,resource_type,resource_id,resource_title,resource_url,als_score
stu_000c7c111a0a0389,Công nghệ thông tin,1,tiki_book,TIKI_279233260,Hiểu Về Trí Tuệ Nhân Tạo - AI,https://tiki.vn/sach-hieu-ve-tri-tue-nhan-tao-ai-p279233260.html?spid=279233261,0.9625
stu_000c7c111a0a0389,Công nghệ thông tin,2,ueh_repository,REPO_UEH_62540,Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/62540,0.957
stu_000c7c111a0a0389,Công nghệ thông tin,3,tiki_book,TIKI_273585809,Công Nghệ Thông Tin- Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,https://tiki.vn/sach-cong-nghe-thong-tin-giao-trinh-c-va-lap-trinh-huong-doi-tuong-p273585809.html?spid=277460817,0.8504
stu_000c7c111a0a0389,Công nghệ thông tin,4,tiki_book,TIKI_271997519,Giáo Trình Mạng Máy Tính Và Truyền Thông - TS. Phan Thanh Đức,https://tiki.vn/giao-trinh-mang-may-tinh-va-truyen-thong-ts-phan-thanh-duc-p271997519.html?spid=271997520,0.8487
stu_000c7c111a0a0389,Công nghệ thông tin,5,ueh_repository,REPO_UEH_62539,Định vị hệ thống ngân hàng Việt Nam trong kỷ nguyên chuyển đổi số,https://digital.lib.ueh.edu.vn/handle/UEH/62539,0.8477
stu_000c7c111a0a0389,Công nghệ thông tin,6,tiki_book,TIKI_279380903,Giáo trình Thị giác máy tính,https://tiki.vn/giao-trinh-thi-giac-may-tinh-p279380903.html?spid=279380904,0.8056
stu_000c7c111a0a0389,Công nghệ thông tin,7,tiki_book,TIKI_5929511,Cố Định Một Đám Mây,https://tiki.vn/sach-co-dinh-mot-dam-may-p5929511.html?spid=5929513,0.796
stu_000c7c111a0a0389,Công nghệ thông tin,8,tiki_book,TIKI_7164855,Cơ Sở Dữ Liệu Quan Hệ & Ứng Dụng,https://tiki.vn/sach-co-so-du-lieu-quan-he-ung-dung-p7164855.html?spid=188782912,0.7729
stu_000c7c111a0a0389,Công nghệ thông tin,9,ueh_repository,REPO_UEH_62516,Ứng dụng Big Data và ai trong xây dựng và khai thác cơ sở dữ liệu quốc gia về giá bất động sản tại Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/62516,0.7612
stu_000c7c111a0a0389,Công nghệ thông tin,10,ueh_repository,REPO_UEH_63406,Các nhân tố ảnh hưởng đến nhu cầu sử dụng dịch vụ kế toán của các doanh nghiệp dùng kế toán đám mây trên địa bàn TP. Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63406,0.7525
stu_0015bc6641cd2650,Kế toán công,1,tiki_book,TIKI_278731661,Kế Toán Quản Trị - Managerial Accounting,https://tiki.vn/ke-toan-quan-tri-managerial-accounting-p278731661.html?spid=278731662,0.9276
stu_0015bc6641cd2650,Kế toán công,2,tiki_book,TIKI_94851869,"Nghiệp Vụ Dành Cho Kế Toán Kiểm Toán Nội Bộ Chuẩn Mực, Nguyên Tắc Đạo Đức Nghề Nghiệp Và Quy Chế Kiểm Toán Nội Bộ Trong Các Cơ Quan Nhà Nước, Đơn Vị Sự Nghiệp Công Lập Và Doanh Nghiệp",https://tiki.vn/sach-nghiep-vu-danh-cho-ke-toan-kiem-toan-noi-bo-chuan-muc-nguyen-tac-dao-duc-nghe-nghiep-va-quy-che-kiem-toan-noi-bo-trong-cac-co-quan-nha-nuoc-don-vi-su-nghiep-cong-lap-va-doanh-nghiep-p94851869.html?spid=94851870,0.8944
stu_0015bc6641cd2650,Kế toán công,3,tiki_book,TIKI_209601948,Thuế Và Kế Toán Thuế 2022 - Áp Dụng Cho Các Doanh nghiệp Việt Nam,https://tiki.vn/thue-va-ke-toan-thue-2022-ap-dung-cho-cac-doanh-nghiep-viet-nam-p209601948.html?spid=209601949,0.8713
stu_0015bc6641cd2650,Kế toán công,4,ueh_repository,REPO_UEH_61237,Giải pháp hoàn thiện hoạt động kiểm toán ngân sách địa phương tại Kiểm toán Nhà nước khu vực Đông Nam Bộ,https://digital.lib.ueh.edu.vn/handle/UEH/61237,0.8644
stu_0015bc6641cd2650,Kế toán công,5,ueh_repository,REPO_UEH_62678,Cân đối ngân sách nhà nước trong điều kiện áp dụng Luật Ngân sách Nhà nước năm 2015 – Trường hợp Thành phố Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/62678,0.8379
stu_0015bc6641cd2650,Kế toán công,6,tiki_book,TIKI_278809094,"Luật Kiểm Toán Nhà Nước - Pháp Lệnh Xử Phạt Vi Phạm Hành Chính Trong Lĩnh Vực Kiểm Toán, Lập Thẩm Định Và Ban Hành Kế Hoạch Kiểm Toán",https://tiki.vn/luat-kiem-toan-nha-nuoc-phap-lenh-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-kiem-toan-lap-tham-dinh-va-ban-hanh-ke-hoach-kiem-toan-p278809094.html?spid=278809095,0.8366
stu_0015bc6641cd2650,Kế toán công,7,ueh_repository,REPO_UEH_62647,Các nhân tố ảnh hưởng đến việc áp dụng thẻ điểm khu vực công (PSS) – Nghiên cứu trong các đơn vị hành chính sự nghiệp tại Thành phố Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/62647,0.8334
stu_0015bc6641cd2650,Kế toán công,8,ueh_repository,REPO_UEH_61472,Hoàn thiện công tác kiểm toán nội bộ trong các Ngân hàng Thương mại Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/61472,0.813
stu_0015bc6641cd2650,Kế toán công,9,ueh_repository,REPO_UEH_63346,Hoàn thiện kiểm soát nội bộ chất lượng dịch vụ hành chính thuế tại Cục Thuế tỉnh Tiền Giang,https://digital.lib.ueh.edu.vn/handle/UEH/63346,0.807
stu_0015bc6641cd2650,Kế toán công,10,tiki_book,TIKI_56602776,Kế Toán Tài Chính Doanh Nghiệp Thương Mại Dịch Vụ,https://tiki.vn/ke-toan-tai-chinh-doanh-nghiep-thuong-mai-dich-vu-p56602776.html?spid=56602777,0.7938
stu_004191135ece3f93,Toán tài chính,1,tiki_book,TIKI_270847837,Xác Suất Thống Kê (Dùng cho sinh viên các trường Kỹ Thuật và Công Nghệ),https://tiki.vn/xac-suat-thong-ke-dung-cho-sinh-vien-cac-truong-ky-thuat-va-cong-nghe-tai-ban-lan-thu-tu-nam-2023-p270847837.html?spid=270847838,0.9505
stu_004191135ece3f93,Toán tài chính,2,tiki_book,TIKI_190743209,Toán tài chính ứng dụng,https://tiki.vn/toan-tai-chinh-ung-dung-p190743209.html?spid=190743210,0.9324
stu_004191135ece3f93,Toán tài chính,3,ueh_repository,REPO_UEH_63322,Quản lý rủi ro tỷ giá trong hoạt kinh doanh ngoại hối tại Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/63322,0.9011
stu_004191135ece3f93,Toán tài chính,4,tiki_book,TIKI_196280121,HBR Onpoint 2021: Quản Lý Rủi Ro (Tái Bản 2022),https://tiki.vn/hbr-onpoint-2021-quan-ly-rui-ro-tai-ban-2022-p196280121.html?spid=197410266,0.8951
stu_004191135ece3f93,Toán tài chính,5,tiki_book,TIKI_278711641,Tài Chính Cá Nhân Căn Bản - Personal Finance 101,https://tiki.vn/sach-tai-chinh-ca-nhan-can-ban-personal-finance-101-p278711641.html?spid=278711642,0.8923
stu_004191135ece3f93,Toán tài chính,6,tiki_book,TIKI_277413581,Định Giá Doanh Nghiệp Và Tài Sản - Ứng Dụng Trong Đầu Tư Tài Chính,https://tiki.vn/dinh-gia-doanh-nghiep-va-tai-san-ung-dung-trong-dau-tu-tai-chinh-p277413581.html?spid=277413582,0.8809
stu_004191135ece3f93,Toán tài chính,7,ueh_repository,REPO_UEH_63535,Phân tích các nhân tố tác động đến hiệu quả chuỗi cung ứng – Nghiên cứu mô hình tại Công ty Cổ phần Acecook Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/63535,0.8622
stu_004191135ece3f93,Toán tài chính,8,ueh_repository,REPO_UEH_62673,"Doanh thu, chi phí và kết quả kinh doanh tại Công ty Cổ phần Sản xuất Kinh doanh Sơn Kim – Theo kế toán tài chính và kế toán quản trị",https://digital.lib.ueh.edu.vn/handle/UEH/62673,0.8436
stu_004191135ece3f93,Toán tài chính,9,ueh_repository,REPO_UEH_61660,Nghị định quy định chi tiết một số điều và biện pháp thi hành Luật Sở hữu trí tuệ về quyền tác giả và quyền liên quan,https://digital.lib.ueh.edu.vn/handle/UEH/61660,0.8283
stu_004191135ece3f93,Toán tài chính,10,ueh_repository,REPO_UEH_63287,Nghiên cứu ứng dụng thống kê Bayes phân tích việc sẵn lòng tham gia bảo hiểm cây cà phê theo chỉ số năng suất của hộ nông dân tỉnh Đắk Lắk,https://digital.lib.ueh.edu.vn/handle/UEH/63287,0.8197
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,1,tiki_book,TIKI_277392524,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156,0.8704
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,2,ueh_repository,REPO_UEH_62960,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),https://digital.lib.ueh.edu.vn/handle/UEH/62960,0.8416
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,3,ueh_repository,REPO_UEH_61148,Thực trạng thực thi pháp luật về quy hoạch đô thị trên địa bàn tỉnh Cà Mau,https://digital.lib.ueh.edu.vn/handle/UEH/61148,0.7759
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,4,ueh_repository,REPO_UEH_63276,Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) ở các doanh nghiệp tại TP. Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63276,0.7625
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,5,tiki_book,TIKI_276237667,Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668,0.7506
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,6,ueh_repository,REPO_UEH_63148,Các nhân tố ảnh hưởng đến chất lượng thông tin kế toán tại các doanh nghiệp dịch vụ ứng dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) trên địa bàn khu vực Đông Nam Bộ,https://digital.lib.ueh.edu.vn/handle/UEH/63148,0.7374
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,7,ueh_repository,REPO_UEH_62975,Hoàn thiện hệ thống quản lý chất lượng tích hợp tại Công ty Cổ phần Mỹ phẩm Sài Gòn (SCC),https://digital.lib.ueh.edu.vn/handle/UEH/62975,0.7181
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,8,tiki_book,TIKI_279286687,- Đơn Vị Hành Chính Việt Nam - Sau Sắp Xếp Và Vận Hành Chính Quyền Địa Phương Hai Cấp,https://tiki.vn/sach-don-vi-hanh-chinh-viet-nam-sau-sap-xep-va-van-hanh-chinh-quyen-dia-phuong-hai-cap-p279286687.html?spid=279286688,0.6992
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,9,tiki_book,TIKI_275873742,"Tây Ban Nha Ấn Tượng Kiến Trúc Xưa Và Nay (In màu) - Đặng Thái Hoàng, Bùi Phương Nga",https://tiki.vn/tay-ban-nha-an-tuong-kien-truc-xua-va-nay-in-mau-dang-thai-hoang-bui-phuong-nga-p275873742.html?spid=275873743,0.6596
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,10,tiki_book,TIKI_53259393,- Mẹ Bỉm Sữa Kinh Doanh Online DL,https://tiki.vn/sach-me-bim-sua-kinh-doanh-online-dl-p53259393.html?spid=53259395,0.6557
